i,dt_segment_s,dt_residual_s_per_s,cumulative_dt_s
1,-9.817145158112533e-08,-9.81714147415335e-09,-9.817145158112533e-08
2,-9.81711423320326e-08,-9.817086992253166e-09,-1.9634259391315793e-07
3,-9.817086519809353e-08,-9.81708604736554e-09,-2.9451345911125143e-07
4,-9.81710605736655e-08,-9.817126067367558e-09,-3.926845196849169e-07
5,-9.817158806804578e-08,-9.817191546241598e-09,-4.908561077529627e-07
6,-9.817238914119887e-08,-9.817286281998176e-09,-5.890284968941616e-07
7,-9.817360725136532e-08,-9.81743516827489e-09,-6.872021041455269e-07
8,-9.81751531992266e-08,-9.817595471570432e-09,-7.853772573447535e-07
9,-9.817656636911057e-08,-9.817717802251683e-09,-8.835538237138641e-07
10,-9.817794771783447e-08,-9.817871741315211e-09,-9.817317714316986e-07
11,-9.817922935238694e-08,-9.817974129162179e-09,-1.0799110007840856e-06
12,-9.81800269681448e-08,-9.818031264466782e-09,-1.1780910277522304e-06
13,-9.818021544084707e-08,-9.818011823702633e-09,-1.2762712431930775e-06
14,-9.817970744093807e-08,-9.81792966448498e-09,-1.3744509506340155e-06
15,-9.81784090401643e-08,-9.817752143547879e-09,-1.4726293596741798e-06
16,-9.817639760858018e-08,-9.81752737816816e-09,-1.57080575728276e-06
17,-9.817402215292532e-08,-9.817277052416902e-09,-1.6689797794356854e-06
18,-9.817197430354635e-08,-9.817117808292366e-09,-1.7671517537392317e-06
19,-9.817118273138392e-08,-9.817118737984418e-09,-1.8653229364706157e-06
20,-9.817107762610874e-08,-9.817096787237332e-09,-1.9634940140967244e-06
21,-9.817108302067921e-08,-9.81711981689851e-09,-2.0616650971174034e-06
22,-9.817142012445912e-08,-9.817164207993315e-09,-2.1598365172418625e-06
23,-9.817158661588617e-08,-9.817153115183921e-09,-2.258008103857749e-06
24,-9.817124939508898e-08,-9.817096763833874e-09,-2.356179353252838e-06
25,-9.817089667664108e-08,-9.817082571494345e-09,-2.454350249929479e-06
26,-9.817080195421374e-08,-9.817077819348401e-09,-2.5525210518836925e-06
27,-9.817074516749154e-08,-9.817071214149908e-09,-2.650691797051184e-06
28,-9.817056721198927e-08,-9.817042228247946e-09,-2.7488623642631735e-06
29,-9.817040958870725e-08,-9.817039689493505e-09,-2.8470327738518807e-06
30,-9.817036899603702e-08,-9.817034109713898e-09,-2.9452031428479176e-06
31,-9.81703022977725e-08,-9.817026349840598e-09,-3.04337344514569e-06
32,-9.817010354540477e-08,-9.816994359240359e-09,-3.141543548691095e-06
33,-9.816987592918959e-08,-9.816980826597559e-09,-3.2397134246202844e-06
34,-9.816987472797599e-08,-9.81699411899764e-09,-3.3378832993482605e-06
35,-9.816992645353329e-08,-9.816991171709018e-09,-3.436053225801794e-06
36,-9.81698477447998e-08,-9.816978377250943e-09,-3.5342230735465935e-06
37,-9.816976302219756e-08,-9.81697422718857e-09,-3.632392836568791e-06
38,-9.816983793732362e-08,-9.816993360276156e-09,-3.7305626745061147e-06
39,-9.81698162705229e-08,-9.816969893828425e-09,-3.828732490776638e-06
40,-9.816967838293429e-08,-9.816965782758433e-09,-3.926902169159572e-06
41,-9.816971857030767e-08,-9.816977931303101e-09,-4.02507188772988e-06
42,-9.816971920169956e-08,-9.816965909036813e-09,-4.12324160693158e-06
43,-9.816959989066863e-08,-9.816954069096913e-09,-4.221411206822248e-06
44,-9.816957959264457e-08,-9.816961849432e-09,-4.3195807864148925e-06
45,-9.816958199395378e-08,-9.816954549358759e-09,-4.4177503684088465e-06
46,-9.816948423131879e-08,-9.816942296905e-09,-4.515919852640165e-06
47,-9.816944455226329e-08,-9.816946613547659e-09,-4.614089297192429e-06
48,-9.816941027125712e-08,-9.816935440703763e-09,-4.712258707463686e-06
49,-9.81692263867323e-08,-9.8169098366427e-09,-4.810427933850419e-06
50,-9.81690815352608e-08,-9.81690647040946e-09,-4.908597015385679e-06
51,-9.816901680988416e-08,-9.816896891567375e-09,-5.0067660321955635e-06
52,-9.816889204445261e-08,-9.816881517323145e-09,-5.104934924240016e-06
53,-9.816886212054786e-08,-9.816890906786426e-09,-5.203103786360564e-06
54,-9.816884821298019e-08,-9.81687873580961e-09,-5.301272634573545e-06
55,-9.816869686043585e-08,-9.81686063627756e-09,-5.39944133143398e-06
56,-9.816862725172584e-08,-9.816864814067609e-09,-5.497609958685706e-06
57,-9.816858749863566e-08,-9.816852685659524e-09,-5.595778546184341e-06
58,-9.816844222329219e-08,-9.816835758998912e-09,-5.693946988407633e-06
59,-9.816839521015537e-08,-9.816843283032162e-09,-5.792115383617789e-06
60,-9.816834094161953e-08,-9.816824905291742e-09,-5.8902837245594085e-06
61,-9.816817264697636e-08,-9.816809624103532e-09,-5.9884518972063845e-06
62,-9.816814445666585e-08,-9.816819267229637e-09,-6.08662004166305e-06
63,-9.816807445513554e-08,-9.816795623797472e-09,-6.184788116118186e-06
64,-9.816787946400033e-08,-9.816780269002593e-09,-6.2829559955821865e-06
65,-9.816786238404022e-08,-9.816792207805453e-09,-6.381123857966227e-06
66,-9.816778943433966e-08,-9.816765679062476e-09,-6.479291647400567e-06
67,-9.816759780518645e-08,-9.816753881974813e-09,-6.577459245205753e-06
68,-9.816760014932184e-08,-9.816766147889555e-09,-6.675626845355075e-06
69,-9.816749827919209e-08,-9.816733507948865e-09,-6.773794343634267e-06
70,-9.81672948067621e-08,-9.816725453403553e-09,-6.871961638441029e-06
71,-9.816729539575933e-08,-9.816733625748312e-09,-6.970128933836788e-06
72,-9.816718551291363e-08,-9.816703476834414e-09,-7.0682961193497015e-06
73,-9.816704043684429e-08,-9.816704610534444e-09,-7.166463159786546e-06
74,-9.816711335893325e-08,-9.816718061252209e-09,-7.2646302731454795e-06
75,-9.816704876799116e-08,-9.816691692346025e-09,-7.362797321913471e-06
76,-9.816691788279349e-08,-9.816691884212673e-09,-7.460964239796264e-06
77,-9.816695965952012e-08,-9.816700047691351e-09,-7.559131199455785e-06
78,-9.816686695396172e-08,-9.816673343100995e-09,-7.657298066409746e-06
79,-9.816673498877647e-08,-9.816673654654296e-09,-7.755464801398522e-06
80,-9.81667715416009e-08,-9.816680653665885e-09,-7.853631572940123e-06
81,-9.816671138029583e-08,-9.816661622393279e-09,-7.951798284320419e-06
82,-9.816663440712623e-08,-9.816665259031968e-09,-8.049964918727545e-06
83,-9.816664578889514e-08,-9.81666389874706e-09,-8.14813156451644e-06
84,-9.816654372290432e-08,-9.816644845833805e-09,-8.246298108239344e-06
85,-9.816647523130016e-08,-9.816650200426227e-09,-8.344464583470644e-06
86,-9.816647382276092e-08,-9.816644564125955e-09,-8.442631057293404e-06
87,-9.816636858485065e-08,-9.816629152844176e-09,-8.540797425878255e-06
88,-9.816647766878866e-08,-9.816666380913557e-09,-8.638963903547043e-06
89,-9.816738545881281e-08,-9.816810710849008e-09,-8.737131289005856e-06
90,-9.816879926868793e-08,-9.816949142888578e-09,-8.835300088274543e-06
91,-9.816986861619416e-08,-9.817024580350256e-09,-8.933469956890737e-06
92,-9.817015401669141e-08,-9.817006222988026e-09,-9.031640110907429e-06
